Location,Date,Temperature_F
Tennessee,10/1/2003,58.5
Tennessee,11/1/2003,52.8
Tennessee,12/1/2003,38.9
Tennessee,1/1/2004,36.9
Tennessee,2/1/2004,39.4
Tennessee,3/1/2004,52.7
Tennessee,4/1/2004,57.2
Tennessee,5/1/2004,70.1
Tennessee,6/1/2004,73.7
Tennessee,7/1/2004,75.6
Tennessee,8/1/2004,72.2
Tennessee,9/1/2004,69.6
Tennessee,10/1/2004,62.8
Tennessee,11/1/2004,53
Tennessee,12/1/2004,38.7
Tennessee,1/1/2005,42.8
Tennessee,2/1/2005,44.4
Tennessee,3/1/2005,47
Tennessee,4/1/2005,57.9
Tennessee,5/1/2005,63.3
Tennessee,6/1/2005,74
Tennessee,7/1/2005,78
Tennessee,8/1/2005,78.9
Tennessee,9/1/2005,72.6
Tennessee,10/1/2005,59.3
Tennessee,11/1/2005,50.4
Tennessee,12/1/2005,36.4
Tennessee,1/1/2006,45
Tennessee,2/1/2006,38.5
Tennessee,3/1/2006,49.6
Tennessee,4/1/2006,63.2
Tennessee,5/1/2006,65
Tennessee,6/1/2006,73.2
Tennessee,7/1/2006,78
Tennessee,8/1/2006,79.2
Tennessee,9/1/2006,67.2
Tennessee,10/1/2006,56.1
Tennessee,11/1/2006,48.4
Tennessee,12/1/2006,43.3
Tennessee,1/1/2007,40.2
Tennessee,2/1/2007,35.9
Tennessee,3/1/2007,56.4
Tennessee,4/1/2007,55.2
Tennessee,5/1/2007,68.7
Tennessee,6/1/2007,75.2
Tennessee,7/1/2007,76.2
Tennessee,8/1/2007,82.6
Tennessee,9/1/2007,73
Tennessee,10/1/2007,63.2
Tennessee,11/1/2007,48.2
Tennessee,12/1/2007,44.5
Tennessee,1/1/2008,36.4
Tennessee,2/1/2008,42.2
Tennessee,3/1/2008,48.8
Tennessee,4/1/2008,57.2
Tennessee,5/1/2008,64.8
Tennessee,6/1/2008,75.4
Tennessee,7/1/2008,76.8
Tennessee,8/1/2008,75.2
Tennessee,9/1/2008,71.2
Tennessee,10/1/2008,57.9
Tennessee,11/1/2008,45.2
Tennessee,12/1/2008,40.4
Tennessee,1/1/2009,35.3
Tennessee,2/1/2009,42.3
Tennessee,3/1/2009,50.3
Tennessee,4/1/2009,57.2
Tennessee,5/1/2009,66.4
Tennessee,6/1/2009,75.6
Tennessee,7/1/2009,73.7
Tennessee,8/1/2009,74.9
Tennessee,9/1/2009,70.6
Tennessee,10/1/2009,56.3
Tennessee,11/1/2009,50.5
Tennessee,12/1/2009,37.9
Tennessee,1/1/2010,32.8
Tennessee,2/1/2010,33.7
Tennessee,3/1/2010,47.2
Tennessee,4/1/2010,60.9
Tennessee,5/1/2010,69.1
Tennessee,6/1/2010,78.4
Tennessee,7/1/2010,79.8
Tennessee,8/1/2010,79.9
Tennessee,9/1/2010,71.6
Tennessee,10/1/2010,59.2
Tennessee,11/1/2010,49.8
Tennessee,12/1/2010,32.7
Tennessee,1/1/2011,33.9
Tennessee,2/1/2011,43.1
Tennessee,3/1/2011,50.6
Tennessee,4/1/2011,61
Tennessee,5/1/2011,65.7
Tennessee,6/1/2011,76.5
Tennessee,7/1/2011,80
Tennessee,8/1/2011,77.8
Tennessee,9/1/2011,68.1
Tennessee,10/1/2011,56.8
Tennessee,11/1/2011,51
Tennessee,12/1/2011,42.8
Tennessee,1/1/2012,42.4
Tennessee,2/1/2012,44.5
Tennessee,3/1/2012,59.8
Tennessee,4/1/2012,60
Tennessee,5/1/2012,70.4
Tennessee,6/1/2012,73.6
Tennessee,7/1/2012,80.5
Tennessee,8/1/2012,75.6
Tennessee,9/1/2012,69.1
Tennessee,10/1/2012,56.7
Tennessee,11/1/2012,45.8
Tennessee,12/1/2012,45.6
Tennessee,1/1/2013,41
Tennessee,2/1/2013,40.8
Tennessee,3/1/2013,42.7
Tennessee,4/1/2013,56.8
Tennessee,5/1/2013,65
Tennessee,6/1/2013,74.2
Tennessee,7/1/2013,74.8
Tennessee,8/1/2013,74.7
Tennessee,9/1/2013,70.7
Tennessee,10/1/2013,59.5
Tennessee,11/1/2013,44.8
Tennessee,12/1/2013,40.4
Tennessee,1/1/2014,30
Tennessee,2/1/2014,38.3
Tennessee,3/1/2014,45
Tennessee,4/1/2014,58.6
Tennessee,5/1/2014,67.3
Tennessee,6/1/2014,74.8
Tennessee,7/1/2014,73.4
Tennessee,8/1/2014,75.9
Tennessee,9/1/2014,70.7
Tennessee,10/1/2014,60.2
Tennessee,11/1/2014,42.4
Tennessee,12/1/2014,42.8
Tennessee,1/1/2015,36.1
Tennessee,2/1/2015,31.4
Tennessee,3/1/2015,49
Tennessee,4/1/2015,60.1
Tennessee,5/1/2015,68
Tennessee,6/1/2015,75.9
